trial_id,trial_type,condition,sequence,prompt,inclusive_answer,exclusive_answer_w1,exclusive_answer_w2,correct_answer
1,filler,and_multiple,"fish, carrot, cat, onion, horse","Remove fish and cat in the following sequence: fish, carrot, cat, onion, horse. Respond directly with the remaining sequence.",,,,"carrot, onion, horse"
2,target,or_word_word,"monkey, black, pear, purple, cucumber, purple, pear","Remove pear or purple in the following sequence: monkey, black, pear, purple, cucumber, purple, pear. Respond directly with the remaining sequence.","monkey, black, cucumber","monkey, black, purple, cucumber, purple","monkey, black, pear, cucumber, pear",
3,filler,all,"blue, monkey, broccoli, tiger, yellow, monkey","Remove all occurrences of monkey in the following sequence: blue, monkey, broccoli, tiger, yellow, monkey. Respond directly with the remaining sequence.",,,,"blue, broccoli, tiger, yellow"
4,target,or_all_word,"blue, blue, carrot, carrot, black, spinach, horse","Remove all blue or carrot in the following sequence: blue, blue, carrot, carrot, black, spinach, horse. Respond directly with the remaining sequence.","black, spinach, horse","carrot, carrot, black, spinach, horse","blue, blue, black, spinach, horse",
5,target,or_all_word,"dog, cucumber, purple, dog, carrot, monkey, purple","Remove all dog or purple in the following sequence: dog, cucumber, purple, dog, carrot, monkey, purple. Respond directly with the remaining sequence.","cucumber, carrot, monkey","cucumber, purple, carrot, monkey, purple","dog, cucumber, dog, carrot, monkey",
6,target,or_word_word,"black, rabbit, carrot, orange, orange, black, strawberry","Remove black or orange in the following sequence: black, rabbit, carrot, orange, orange, black, strawberry. Respond directly with the remaining sequence.","rabbit, carrot, strawberry","rabbit, carrot, orange, orange, strawberry","black, rabbit, carrot, black, strawberry",
7,filler,all,"red, white, potato, horse, white, cat","Remove all occurrences of white in the following sequence: red, white, potato, horse, white, cat. Respond directly with the remaining sequence.",,,,"red, potato, horse, cat"
8,filler,all,"grape, onion, pink, grape, grape, carrot, bird","Remove all occurrences of grape in the following sequence: grape, onion, pink, grape, grape, carrot, bird. Respond directly with the remaining sequence.",,,,"onion, pink, carrot, bird"
9,filler,and_multiple,"spinach, onion, broccoli, pink, cherry","Remove pink and broccoli in the following sequence: spinach, onion, broccoli, pink, cherry. Respond directly with the remaining sequence.",,,,"spinach, onion, cherry"
10,target,or_all_word,"black, monkey, fish, carrot, mango, fish, fish, mango","Remove all fish or mango in the following sequence: black, monkey, fish, carrot, mango, fish, fish, mango. Respond directly with the remaining sequence.","black, monkey, carrot","black, monkey, carrot, mango, mango","black, monkey, fish, carrot, fish, fish",
